Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-07,Lost in Translation,2003,https://boxd.it/5ht2Ar,5,,,2023-12-06
2023-12-07,Her,2013,https://boxd.it/5ht3lR,5,,,2023-12-06
2023-12-09,L.A. Confidential,1997,https://boxd.it/5icUIT,5,,,2023-12-08
2023-12-14,Napoleon,2023,https://boxd.it/5k25L1,5,,,2023-12-13
2023-12-14,Ex Machina,2015,https://boxd.it/5k265l,5,,,2023-12-13
2023-12-15,The Lobster,2015,https://boxd.it/5kbgCR,5,,,2023-12-14
2025-02-18,I Vitelloni,1953,https://boxd.it/8RX5Tf,4,,,2025-02-17
2025-02-18,The Killing,1956,https://boxd.it/8RX7xb,4,,,2025-02-17
2025-02-19,8½,1963,https://boxd.it/8SxdET,4,,,2025-02-18
2025-02-19,Memento,2000,https://boxd.it/8SMeaF,4,,,2025-02-18
2025-02-19,Rashomon,1950,https://boxd.it/8SQ97z,4,,,2025-02-18
2025-02-19,The Killing of a Chinese Bookie,1976,https://boxd.it/8SWJaL,3,,,2025-02-18
2025-02-20,Persona,1966,https://boxd.it/8Tft33,4,,,2025-02-19
2025-02-20,Mulholland Drive,2001,https://boxd.it/8Txv2x,3.5,,,2025-02-19
2025-02-22,La Dolce Vita,1960,https://boxd.it/8UM2FT,4,,,2025-02-21
2025-02-22,The White Sheik,1952,https://boxd.it/8UM2Wb,4,,,2025-02-21
2025-02-23,La Strada,1954,https://boxd.it/8VfNsb,3,,,2025-02-22
2025-02-25,Taxi Driver,1976,https://boxd.it/8WQp93,5,,,2025-02-24
2025-02-26,Nights of Cabiria,1957,https://boxd.it/8XiJQR,4,,,2025-02-25
2025-02-28,Juliet of the Spirits,1965,https://boxd.it/8Yw6Gv,4,,,2025-02-27
2025-03-21,Anora,2024,https://boxd.it/9bebgX,4,,,2025-03-20
2025-04-10,Mickey 17,2025,https://boxd.it/9mzqgT,4,Yes,,2025-04-09
2025-04-14,To Live and Die in L.A.,1985,https://boxd.it/9p5qjb,3,,,2025-04-13
2025-04-19,Moon,2009,https://boxd.it/9rXnjt,3.5,,,2025-04-18
2025-04-22,The Irishman,2019,https://boxd.it/9u7jon,4,,,2025-04-21
2025-05-03,The Godfather,1972,https://boxd.it/9A4TE5,5,Yes,,2025-05-02
2025-05-03,The Godfather Part II,1974,https://boxd.it/9A4UtR,5,,,2025-05-02
2025-05-03,Minority Report,2002,https://boxd.it/9AkJHP,4,,,2025-05-02
2025-05-03,Vanilla Sky,2001,https://boxd.it/9AvkEt,4,,,2025-05-02
2025-05-05,Gangs of New York,2002,https://boxd.it/9BrR6v,5,,,2025-05-04
2025-05-06,Tropic Thunder,2008,https://boxd.it/9C8azP,4,Yes,,2025-05-05
2025-05-06,Zoolander,2001,https://boxd.it/9C9bNF,4,Yes,,2025-05-05
2025-05-06,Swingers,1996,https://boxd.it/9Chsiv,3.5,,,2025-05-05
2025-05-06,Jerry Maguire,1996,https://boxd.it/9CrNad,3.5,,,2025-05-05
2025-05-07,Chinatown,1974,https://boxd.it/9CMPuh,4,,,2025-05-06
2025-05-08,Sinners,2025,https://boxd.it/9Dvr1P,4,,,2025-05-07
2025-05-10,Rounders,1998,https://boxd.it/9Ek3ub,3.5,,,2025-05-09
2025-05-10,Rosemary's Baby,1968,https://boxd.it/9Ew9FX,4,,,2025-05-09
2025-05-12,The King of Comedy,1982,https://boxd.it/9FL6Af,3.5,Yes,,2025-05-11
2025-05-12,Adventureland,2009,https://boxd.it/9FL7bb,4,Yes,,2025-05-11
2025-05-13,Get Shorty,1995,https://boxd.it/9G7WJx,3,,,2025-05-12
2025-05-13,Stagecoach,1939,https://boxd.it/9GmqfF,4,,,2025-05-12
2025-05-14,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/9GF5aR,3.5,Yes,,2025-05-13
2025-05-14,Red River,1948,https://boxd.it/9GF7Gv,3.5,,,2025-05-13
2025-05-15,Warfare,2025,https://boxd.it/9HmKBP,4,,,2025-05-14
2025-05-16,Eyes Wide Shut,1999,https://boxd.it/9HDvb7,4.5,Yes,,2025-05-15
2025-05-29,Friendship,2024,https://boxd.it/9Q082z,5,,,2025-05-28
2025-06-13,The Phoenician Scheme,2025,https://boxd.it/9YO1jF,3,,,2025-06-12
2025-07-23,Superman,2025,https://boxd.it/arsLMZ,3,,,2025-07-22
2025-07-23,F1,2025,https://boxd.it/arsMKP,3.5,,,2025-07-22
2025-07-23,Eddington,2025,https://boxd.it/arsN67,3.5,,,2025-07-22
2025-08-14,The Fantastic 4: First Steps,2025,https://boxd.it/aIJwY9,3,,,2025-08-13
2025-10-11,HIM,2025,https://boxd.it/bk5alL,3,,,2025-10-10
2025-10-11,Punch-Drunk Love,2002,https://boxd.it/bk5cx5,3.5,,,2025-10-10
2025-10-11,Boogie Nights,1997,https://boxd.it/bk5dSj,4,,,2025-10-10
2025-12-02,Magnolia,1999,https://boxd.it/bUazmj,3.5,,,2025-12-01
2025-12-02,Closer,2004,https://boxd.it/bUaAgr,4,Yes,,2025-12-01
2025-12-02,Bugonia,2025,https://boxd.it/bUaCUX,3.5,,,2025-12-01
2025-12-02,Kick-Ass,2010,https://boxd.it/bUaEnh,4,Yes,,2025-12-01
2025-12-04,Go,1999,https://boxd.it/bVlqKn,3.5,,,2025-12-03
2025-12-04,The Social Network,2010,https://boxd.it/bVlrC5,4,Yes,,2025-12-03
2025-12-04,The Rules of Attraction,2002,https://boxd.it/bVlt7N,3,,,2025-12-03
2025-12-04,Spring Breakers,2012,https://boxd.it/bVAwen,3,Yes,,2025-12-03
2025-12-12,True Romance,1993,https://boxd.it/c0IW7D,4.5,Yes,,2025-12-11
2025-12-12,Natural Born Killers,1994,https://boxd.it/c0IWER,4,,,2025-12-11
2025-12-19,Kill Bill: The Whole Bloody Affair,2006,https://boxd.it/c6I8FJ,5,,,2025-12-18
2025-12-19,Wild at Heart,1990,https://boxd.it/c6I9GN,4,,,2025-12-18
2025-12-19,Gun Crazy,1950,https://boxd.it/c6Idwx,4,,,2025-12-18
2025-12-19,Licorice Pizza,2021,https://boxd.it/c6Iff9,4,,,2025-12-18
2025-12-24,The Housemaid,2025,https://boxd.it/ccALv7,4,,,2025-12-23
2025-12-31,One Battle After Another,2025,https://boxd.it/cl61Mx,4,,,2025-12-30
2025-12-31,Marty Supreme,2025,https://boxd.it/cl62Tp,4,,,2025-12-30
2026-01-03,Badlands,1973,https://boxd.it/co6xEd,3,,,2026-01-02
2026-01-03,Switchblade Sisters,1975,https://boxd.it/co6zdX,3,,,2026-01-02
